,City,Country,Lat,Long,Hotel Name
96,Tutóia,BR,41.96,42.96,Nino village
97,Eyl,SO,40.48,-106.83,Hampton Inn & Suites Steamboat Springs
98,Gōtsuchō,JP,65.61,-37.64,The Red House
99,Chapais,CA,37.58,-6.75,HOTEL MONTEAROMA (ulamde hotelera S.L.)
100,Ketchikan,US,-34.65,-58.62,Hotel Cabildo
101,New Norfolk,AU,0.39,9.45,"Radisson Blu Okoumé Palace Hotel, Libreville"
102,Lüderitz,,-37.83,140.77,The Old Mount Gambier Gaol
103,Moengo,SR,59.43,56.68,Gostevoy Dom
104,Mehamn,NO,48.55,10.85,ME Hotel
105,Saint Paul Harbor,US,41.37,-73.41,Hampton Inn Danbury
106,Suoyarvi,RU,60.92,-46.05,Hotel Narsaq
107,Fare,PF,39.18,-84.53,Six Acres Bed & Breakfast
108,General Pico,AR,43.27,-7.54,Casa Grande de Anllo
109,Nālūt,LY,45.78,-74.0,Super 8 by Wyndham St-Jerome
110,Yatou,CN,43.66,-116.69,Best Western Plus Caldwell Inn & Suites
111,Egvekinot,RU,-3.41,-39.03,Hotel VentoBrasil
112,Bilma,NE,42.97,-80.05,
113,Fortuna,US,37.37,118.02,Binzhou Hotel
114,Ribeira Grande,PT,37.72,-25.43,Pestana Bahia Praia
115,Trelew,AR,52.33,-0.19,Holiday Inn Huntingdon - Racecourse
116,Alyangula,AU,29.97,40.21,Raoum Inn Hotel
117,Marapanim,BR,-22.97,-42.03,Hotel da Canoa
118,San Jerónimo,PE,45.52,-122.68,Ace Hotel Portland
119,Bluff,NZ,-45.87,170.5,Distinction Dunedin Hotel
120,Ilulissat,GL,-22.12,14.28,Huis Klipdrift
121,Kyra,RU,-5.2,-35.46,Bugaendrus Paradise
122,Pimentel,PE,19.55,-103.4,voz natural
123,Stornoway,GB,-19.98,57.61,Mauricia Beachcomber Resort & Spa
124,Kieta,PG,22.89,-109.91,Welk Resorts Cabo San Lucas
125,Datong,CN,-45.58,-72.07,Patagonia House
126,La Ronge,CA,-32.24,-53.09,Hotel Amsterdam
127,Maun,BW,47.67,-52.73,
128,Bathsheba,BB,57.05,-135.33,Aspen Suites Hotel Sitka
129,Balabac,PH,38.73,-27.07,Atlântida Mar Hotel
130,São Filipe,CV,48.51,-122.61,Marina Inn
131,Labuhan,ID,34.8,46.94,
132,Ranong,TH,41.71,-70.23,Ambassador Inn & Suites
133,Rocha,UY,-32.25,24.53,Rietjiesbos B&B
134,Kiama,AU,33.08,-16.33,Hotel Porto Santo & Spa
135,Vanderhoof,CA,-24.87,113.63,Hospitality Carnarvon
136,Korla,CN,42.21,-121.74,Holiday Inn Express & Suites Klamath Falls Central
137,Ormara,PK,2.82,-60.67,Hotel Hostel Caçari
138,Bonavista,CA,37.57,126.98,Nine Tree Premier Hotel Myeongdong II
139,Buldāna,IN,32.67,-17.1,Hotel Da Vila
140,Whitianga,NZ,63.84,-22.43,Mar Guesthouse
141,Hobart,AU,64.75,20.95,Quality Hotel Skellefteå Stadshotell
142,Dosso,NE,57.64,18.3,Hotell Slottsbacken
143,Derzhavīnsk,KZ,39.15,-123.21,Comfort Inn & Suites
144,Coquimbo,CL,66.04,-17.34,Arbol
145,Vila Velha,BR,49.75,-77.63,Hôtel Matagami
146,Atar,MR,24.41,-106.69,Cabañas El Potrero
147,Kowary,PL,-31.42,-64.5,"Hotel Howard Johnson, Villa Carlos Paz"
148,Vågåmo,NO,69.49,88.4,Talnakh Hotel
149,Turukhansk,RU,4.41,114.01,Pullman Miri Waterfront
150,Lubango,AO,70.47,-68.59,Naujaaraaluit – Clyde River Hotel
151,Key West,US,26.56,54.88,Diplomat Hotel
152,Muhororo,UG,-21.01,55.27,Boucan Canot
153,Gari,RU,63.84,23.13,Kokkolan Wanha Kartano
154,Plyussa,RU,39.04,65.58,
155,Mar del Plata,AR,-16.1,167.42,Malekula Holiday Villas
156,Whitehorse,CA,63.44,-20.27,Hotel Vestmannaeyjar
157,Isiro,CD,-34.58,150.86,Lakeview Hotel Motel
